X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.122119192482,-8.50432248152435,"1","515","CI Water Meter Induk 4"" Transmisi",,,MW Induk,,,,,MA Riang Gede Gravitasi,,,,,,./0.png
115.119509775664,-8.51065052414015,"2","525","CI Water Meter Induk 6""",,,MW Induk,,,,,MA Riang Gede Gravitasi,20m Kurang Lebih Selatan Perum Dewi Sri,,,,,./0.png
115.111915040329,-8.53428709584264,"3","704","Water Meter Induk 8""",,,MW Induk,,"8""",,,SIstem Trans Distribusi MA Riang Gede,,,,,,./0.png
115.122119192482,-8.50432248152435,"4","723","WMI 4""",,,MW Induk,,"4""",,,,,,,,,./0.png
115.145992035434,-8.4082724228356,"5","1926","Water Meter 4""",,,MW Induk,,"4""",,,MA. Katos Gravitasi,"Water Meter Induk 4""",,,,,./0.png
115.178238596779,-8.45161165762663,"6","2211","Water Meter BR 4""",,,MW Induk,,"4""",,,Marga Atas Gravitasi,Resv. Gangsang,,,,,./0.png
115.170402170368,-8.49467678775995,"7","2386",,,Water Meter Induk 8'',MW Induk,,,,,Mengukur pemakaian rata-rata air dari pipa transmisi MA. Dedari menuju Resv. Dedari,Resv. MA. Dedari,,,,,./0.png
115.162022267976,-8.52638078345301,"8","2537",,,Water Meter Induk 8'',MW Induk,,,,,,Rumah Penduduk,,,,,./0.png
115.108670616811,-8.53954829722465,"9",,,,,,,"4""",,,,,,,,,./0.png
