X,Y,id_0,id,jenis_acc,jenis_acc2,jenis_acc_,jenis acc,kondisi ac,diameter a,pembiaya a,alamat acc,sistem pel,lokasi acc,foto acc,status cc,material a,th. pasang,icon_url
115.139295165015,-8.59406950837827,"512","2111",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.141377783143,-8.59010765128578,"513","2117",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.141623118039,-8.58963345110565,"514","2120",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.143616870591,-8.58568454909411,"515","2127",CI Gate Valve AF 3'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.14359619799,-8.58567063853614,"516","2129",CI Gate Valve AF 3'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.142300051632,-8.58814949869539,"517","2139",CI Gate Valve AF 3'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.1423818827,-8.58800736111129,"518","2142",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.142503257015,-8.58777342366564,"519","2144",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.142952755716,-8.58689720978828,"521","2148",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.143082649303,-8.5866369770173,"522","2150",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.143276713951,-8.58625274755325,"523","2152",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.143479065069,-8.58586532555533,"524","2154",CI Gate Valve AF 2'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.155198713531,-8.56469990956911,"525","2156",CI Gate Valve AF 6'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertokoan Sebelah Selatan Sate Ikan Tuna,,,,,./0.png
115.154270681338,-8.56622981510259,"526","2159",CI Gate Valve AF 4'',,,Gate Valve,,,,,MA. BEJI MUMBUL,Pertigaan Jalan,,,,,./0.png
115.175016833715,-8.45629340153125,"527","2166",CI Gate Valve AF 6'',,,Gate Valve,,,,,Bay Pas,Kuburan Gangsang,,,,,./0.png
115.171131920924,-8.46355175751155,"528","2173",CI Gate Valve AF 6'',,,Gate Valve,,,,,Bay Pas,Selatan Pertigaan Jalan,,,,,./0.png
115.168733387417,-8.46758483795369,"529","2174",CI Gate Valve AF 6'',,,Gate Valve,,,,,Bay Pas,Tempat Suci,,,,,./0.png
115.156926213166,-8.46796681068079,"530","2177",CI Gate Valve AF 6'',,,Gate Valve,,,,,Bay Pas,Jembatan Jalan Ke Tunjuk,,,,,./0.png
115.156914770263,-8.46797177074336,"531","2178",CI Gate Valve AF 6'',,,Gate Valve,,,,,Bay Pas,Jembatan Jalan Ke Tunjuk,,,,,./0.png
115.156655988104,-8.46801266197657,"532","2179",CI Gate Valve AF 6'',WM Induk 6'',,Gate Valve,,,,,Bay Pas,Barat Jembatan,,,,,./0.png
115.152679802277,-8.47029173505764,"533","2180",CI Gate Valve AF 6'',,,Gate Valve,,,,,Bay Pas,Tiang Kabel PLN,,,,,./0.png
115.151573122502,-8.47872102995102,"534","2183",CI Gate Valve AF 6'',,,Gate Valve,,,,,Bay Pas,Selatan Pertigaan Jalan Ke Balai Subak,,,,,./0.png
115.151077261185,-8.4854380114036,"535","2186",CI Gate Valve AF 3'',,,Gate Valve,,,,,Bay Pas,Selatan Pertigaan Jalan Ke Kuburan Tunjuk,,,,,./0.png
115.150047146015,-8.49288981353958,"536","2190",CI Gate Valve AF 3'',,,Gate Valve,,,,,Bay Pas,Pertigaan Jalan,,,,,./0.png
115.149520125071,-8.49470143566652,"537","2191",CI Gate Valve AF 3'',,,Gate Valve,,,,,Bay Pas,Pertigaan Jalan,,,,,./0.png
115.148754648126,-8.49731628152597,"538","2194",CI Gate Valve AF 2'',,,Gate Valve,,,,,Bay Pas,Pertigaan Jalan,,,,,./0.png
115.145004094387,-8.50512359119931,"539","2203","CI Gate Valve All Flanges 4""",,,Gate Valve,,,,,Bay Pas,Jembatan Pura Dalam Buahan,,,,,./0.png
115.135400255465,-8.52703788502344,"540","2207",CI Gate Valve AF 14'',,,Gate Valve,,,,,Bay Pas,Pertigaan Jalan Menuju Puskopad III,,,,,./0.png
115.138188450203,-8.52828713086137,"541","2208",CI Gate Valve AF 14'',,,Gate Valve,,,,,Bay Pas,Ujung Pipa 14'',,,,,./0.png
115.178231591194,-8.4514786245029,"542","2209",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Resv. Gangsang,,,,,./0.png
115.178233718367,-8.45147857102734,"543","2210",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Resv. Gangsang,,,,,./0.png
115.174533604064,-8.45702179710166,"544","2214",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Pertigaan Jalan,,,,,./0.png
115.174536861599,-8.45702611208133,"545","2215",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Pertigaan Jalan,,,,,./0.png
115.17341611044,-8.46085229987524,"546","2218",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Selatan Pertigaan Jalan,,,,,./0.png
115.173415524331,-8.46085126122647,"547","2219",CI Gate Valve AF 2'',,,Gate Valve,,,,,Marga Atas Pompa,Selatan Pertigaan Jalan,,,,,./0.png
115.171134552482,-8.46355899717218,"548","2220",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Selatan Pertigaan Jalan,,,,,./0.png
115.171154921263,-8.4635406776838,"549","2221",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Timur Pertigaan Jalan,,,,,./0.png
115.168739636769,-8.46758830731144,"550","2222",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Depan Sate Ikan Laut,,,,,./0.png
115.167358734017,-8.46978638487105,"551","2225",CI Gate Valve AF 4'',,,Gate Valve,,,,,Marga Atas Pompa,Barat Pertigaan Jalan,,,,,./0.png
115.166882957018,-8.46955741467915,"552","2226",CI Gate Valve AF 4'',CI Gate Valve AF 2'',,Gate Valve,,,,,Marga Atas Pompa,Timur Jembatan SMP N 1 Marga,,,,,./0.png
115.169493241265,-8.46776170275705,"553","2230",CI Gate Valve AF 3'',,,Gate Valve,,,,,,Selatan Pertigaan,,,,,./0.png
115.168665699872,-8.47017956208015,"554","2231",CI Gate Valve AF 2'',,,Gate Valve,,,,,,Barat Br. Tembau,,,,,./0.png
115.168015204963,-8.47337854024878,"555","2243","GATE VALVE 3""",,,Gate Valve,,,,,,Ujung Pelayanan Perempatan Jalan,,,,,./0.png
115.169510945721,-8.47048353988521,"556","2246","GATE VALVE 2""",,,Gate Valve,,,,,,Tikungan Jalan,,,,,./0.png
115.169554470626,-8.47057706007273,"557","2247",CI Gate Valve AF 2'',,,Gate Valve,,,,,,Utara Pintu Masuk Pasar,,,,,./0.png
115.137489720466,-8.55900449008324,"558","2250",,,CI Gate Valve AF 4'',Gate Valve,,,,,,,,,,,./0.png
115.13687594393,-8.55868510982298,"559","2253",,,CI Gate Valve AF 3'',Gate Valve,,,,,,,,,,,./0.png
115.138007139491,-8.5563092439118,"560","2285",,,CI Gate Valve AF 3'',Gate Valve,,,,,,Perum Kavling Maha Pertiwi,,,,,./0.png
115.129777609671,-8.55097702164161,"561","2289",,,CI Gate Valve AF 3'',Gate Valve,,,,,,Perum Teduh Residence / Pertigaan Jalan,,,,,./0.png
115.135404603307,-8.56399921799627,"562","2290",,,CI Gate Valve AF 6'',Gate Valve,,,,,,Perempatan Jalan / Br. Panti,,,,,./0.png
